example_id                                                         | status  | run_time              |
./spec/features/admin/banners_spec.rb[1:3]                         | passed  | 0.79608 seconds       |
./spec/features/admin/banners_spec.rb[1:4]                         | passed  | 2.66 seconds          |
./spec/features/admin/banners_spec.rb[1:5]                         | passed  | 0.46829 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:1:1]            | passed  | 0.22069 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:2:1]            | failed  | 0.47709 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:2:2]            | failed  | 0.6771 seconds        |
./spec/features/admin/budget_investments_spec.rb[1:2:3]            | failed  | 2.8 seconds           |
./spec/features/admin/budget_investments_spec.rb[1:2:4]            | failed  | 2.83 seconds          |
./spec/features/admin/budget_investments_spec.rb[1:2:5]            | failed  | 2.83 seconds          |
./spec/features/admin/budget_investments_spec.rb[1:2:6]            | failed  | 0.22254 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:2:7]            | failed  | 0.3417 seconds        |
./spec/features/admin/budget_investments_spec.rb[1:2:8]            | failed  | 0.48809 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:2:9]            | failed  | 0.40603 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:2:10]           | failed  | 0.36634 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:3]              | failed  | 0.29913 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:4:1]            | failed  | 0.26008 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:4:2]            | failed  | 0.2319 seconds        |
./spec/features/admin/budget_investments_spec.rb[1:4:3]            | failed  | 0.44132 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:4:4]            | failed  | 2.79 seconds          |
./spec/features/admin/budget_investments_spec.rb[1:4:5]            | failed  | 0.26008 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:4:6]            | failed  | 0.26033 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:4:7]            | failed  | 0.29276 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:4:8]            | failed  | 0.25569 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:5:1]            | failed  | 0.47594 seconds       |
./spec/features/admin/budget_investments_spec.rb[1:5:2]            | failed  | 2.8 seconds           |
./spec/features/admin/budget_investments_spec.rb[1:5:3]            | failed  | 3 seconds             |
./spec/features/admin/budget_investments_spec.rb[1:5:4]            | failed  | 2.85 seconds          |
./spec/features/admin/budgets_spec.rb[1:1:1]                       | passed  | 0.20009 seconds       |
./spec/features/admin/budgets_spec.rb[1:2:1]                       | failed  | 0.18706 seconds       |
./spec/features/admin/budgets_spec.rb[1:2:2]                       | failed  | 0.42798 seconds       |
./spec/features/admin/budgets_spec.rb[1:2:3]                       | failed  | 0.17664 seconds       |
./spec/features/admin/budgets_spec.rb[1:3:1]                       | failed  | 0.18125 seconds       |
./spec/features/admin/budgets_spec.rb[1:3:2]                       | failed  | 0.17691 seconds       |
./spec/features/admin/budgets_spec.rb[1:4:1]                       | failed  | 2.71 seconds          |
./spec/features/admin/budgets_spec.rb[1:4:2]                       | failed  | 2.89 seconds          |
./spec/features/admin/comments_spec.rb[1:1]                        | failed  | 0.76132 seconds       |
